DATE,age,bmr,body_fat,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20140206,29.926027397260274,1681.1410369863015,,0,70.0,2,1.79,,,,,,,,1681.1410369863015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140207,29.92876712328767,1681.1225301369864,,0,70.0,2,1.79,,,,,,,,1681.1225301369864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140208,29.931506849315067,1681.1040232876712,,0,70.0,2,1.79,,,,,,,,1681.1040232876712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140209,29.934246575342467,1681.0855164383563,,0,70.0,2,1.79,,,,,,,,1681.0855164383563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140210,29.936986301369863,1681.0670095890412,,0,70.0,2,1.79,,,,,,,,1681.0670095890412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140211,29.93972602739726,1681.048502739726,,0,70.0,2,1.79,,,,,,,,1681.048502739726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140212,29.942465753424656,1681.029995890411,,0,70.0,2,1.79,,,,,,,,1681.029995890411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140213,29.945205479452056,1681.011489041096,,0,70.0,2,1.79,,,,,,,,1681.011489041096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140214,29.947945205479453,1680.9929821917808,,0,70.0,2,1.79,,,,,,,,1680.9929821917808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140215,29.95068493150685,1680.974475342466,,0,70.0,2,1.79,,,,,,,,1680.974475342466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140216,29.953424657534246,1680.9559684931507,,0,70.0,2,1.79,,,,,,,,1680.9559684931507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140217,29.956164383561642,1680.9374616438356,,0,70.0,2,1.79,,,,,,,,1680.9374616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140218,29.958904109589042,1680.9189547945207,,0,70.0,2,1.79,,,,,,,,1680.9189547945207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140219,29.96164383561644,1680.9004479452055,,0,70.0,2,1.79,,,,,,,,1680.9004479452055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140220,29.964383561643835,1680.8819410958904,,0,70.0,2,1.79,,,,,,,,1680.8819410958904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140221,29.96712328767123,1680.8634342465755,,0,70.0,2,1.79,,,,,,,,1680.8634342465755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140222,29.96986301369863,1680.8449273972603,,0,70.0,2,1.79,,,,,,,,1680.8449273972603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140223,29.972602739726028,1680.8264205479454,,0,70.0,2,1.79,,,,,,,,1680.8264205479454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
